rank,region_id,region_name,state,city,metro,county_name,current_value,appreciation_pct,appreciation_score,velocity_score,distress_score,pricing_power_score,value_gap_score,composite_score,days_to_pending,price_cut_pct,sale_to_list,value_gap_pct,strategy
1,85231,61925,IL,Dalton City,"Decatur, IL",Macon County,198539.2691488288,12.628743681417712,100.0,97.92728114867994,67.66247513034823,,68.9185652451205,76.90166430482974,27.0,26.116470999574975,,266.39028816375975,Balanced
2,85563,62554,IL,Oreana,"Decatur, IL",Macon County,169367.4292146725,8.737797007211457,100.0,97.92728114867994,67.66247513034823,,68.9185652451205,76.90166430482974,27.0,26.116470999574975,,266.39028816375975,Balanced
3,85577,62573,IL,Warrensburg,"Decatur, IL",Macon County,154972.5532646464,8.417858497968309,100.0,97.92728114867994,67.66247513034823,,68.9185652451205,76.90166430482974,27.0,26.116470999574975,,266.39028816375975,Balanced
4,85525,62501,IL,Oreana,"Decatur, IL",Macon County,187742.31174998,13.480058307982423,100.0,97.92728114867994,67.66247513034823,,68.9185652451205,76.90166430482974,27.0,26.116470999574975,,266.39028816375975,Balanced
5,85535,62521,IL,Decatur,"Decatur, IL",Macon County,115800.42870973784,7.700250492303315,98.37735373811726,97.92728114867994,67.66247513034823,,68.9185652451205,76.5771350524532,27.0,26.116470999574975,,266.39028816375975,Balanced
6,85554,62544,IL,Macon,"Decatur, IL",Macon County,143095.4720208086,7.2538882700969785,95.49182468707058,97.92728114867994,67.66247513034823,,68.9185652451205,76.00002924224384,27.0,26.116470999574975,,266.39028816375975,Balanced
7,85536,62522,IL,Decatur,"Decatur, IL",Macon County,84273.10322984788,7.0759064732371355,94.34125320085023,97.92728114867994,67.66247513034823,,68.9185652451205,75.76991494499978,27.0,26.116470999574975,,266.39028816375975,Balanced
8,85141,61756,IL,Maroa,"Decatur, IL",Macon County,150777.85153670583,6.899955508788919,93.20381012386797,97.92728114867994,67.66247513034823,,68.9185652451205,75.54242632960333,27.0,26.116470999574975,,266.39028816375975,Balanced
9,85546,62535,IL,Forsyth,"Decatur, IL",Macon County,305371.7584146865,6.7442233856580405,92.19707267361036,97.92728114867994,67.66247513034823,,68.9185652451205,75.34107883955181,27.0,26.116470999574975,,266.39028816375975,Balanced
10,85540,62526,IL,Decatur,"Decatur, IL",Macon County,93779.67329289344,6.44371407568131,90.25441646099074,97.92728114867994,67.66247513034823,,68.9185652451205,74.95254759702789,27.0,26.116470999574975,,266.39028816375975,Balanced
11,85559,62549,IL,Mount Zion,"Decatur, IL",Macon County,191134.6833788508,6.167536747762603,88.46905546200034,97.92728114867994,67.66247513034823,,68.9185652451205,74.5954753972298,27.0,26.116470999574975,,266.39028816375975,Balanced
12,88020,68456,NE,Utica,"Lincoln, NE",Seward County,233332.34215477228,6.065176765437124,87.80734466307824,93.52709587772117,81.39407572968189,,59.191980023955345,74.38409925888733,30.166666666666668,28.124392095069688,,225.39332329470403,Balanced
13,85561,62551,IL,Niantic,"Decatur, IL",Macon County,123606.91488427606,5.925359949586152,86.90349244644437,97.92728114867994,67.66247513034823,,68.9185652451205,74.28236279411861,27.0,26.116470999574975,,266.39028816375975,Balanced
14,87957,68360,NE,Garland,"Lincoln, NE",Seward County,424966.73347010073,5.926403271115259,86.91023704630531,93.52709587772117,81.39407572968189,,59.191980023955345,74.20467773553274,30.166666666666668,28.124392095069688,,225.39332329470403,Balanced
15,87979,68405,NE,Milford,"Lincoln, NE",Seward County,296366.8826869985,5.806963538167807,86.13811341638528,93.52709587772117,81.39407572968189,,59.191980023955345,74.05025300954874,30.166666666666668,28.124392095069688,,225.39332329470403,Balanced
16,88001,68434,NE,Seward,"Lincoln, NE",Seward County,296567.7536327342,5.773362541808608,85.92089823482414,93.52709587772117,81.39407572968189,,59.191980023955345,74.0068099732365,30.166666666666668,28.124392095069688,,225.39332329470403,Balanced
17,87914,68314,NE,Bee,"Lincoln, NE",Seward County,276893.5520637671,5.01303559028321,81.00572979589178,93.52709587772117,81.39407572968189,,59.191980023955345,73.02377628545004,30.166666666666668,28.124392095069688,,225.39332329470403,Balanced
18,87994,68423,NE,Pleasant Dale,"Lincoln, NE",Seward County,475753.3265735197,4.666619719981011,78.7663085192441,93.52709587772117,81.39407572968189,,59.191980023955345,72.5758920301205,30.166666666666668,28.124392095069688,,225.39332329470403,Balanced
19,85528,62513,IL,Blue Mound,"Decatur, IL",Macon County,139016.83228083982,4.2121624893201,75.82844891488875,97.92728114867994,67.66247513034823,,68.9185652451205,72.06735408780749,27.0,26.116470999574975,,266.39028816375975,Balanced
20,88005,68439,NE,Seward,"Lincoln, NE",Seward County,229655.12033499512,4.1808393659157455,75.6259591474841,93.52709587772117,81.39407572968189,,59.191980023955345,71.94782215576849,30.166666666666668,28.124392095069688,,225.39332329470403,Balanced
21,87960,68364,NE,Goehner,"Lincoln, NE",Seward County,211764.62053502,4.035548569384482,74.68672013176186,93.52709587772117,81.39407572968189,,59.191980023955345,71.75997435262406,30.166666666666668,28.124392095069688,,225.39332329470403,Balanced
22,65222,17857,PA,Northumberland,"Sunbury, PA",Northumberland County,203003.93669101663,10.915689200829865,100.0,88.66373320981936,52.0173173393412,,66.88365824131138,71.51294175809439,33.666666666666664,23.828737523520413,,257.8132789616582,Balanced
23,65200,17830,PA,Herndon,"Sunbury, PA",Northumberland County,219998.3508667719,8.496139838123852,100.0,88.66373320981936,52.0173173393412,,66.88365824131138,71.51294175809439,33.666666666666664,23.828737523520413,,257.8132789616582,Balanced
24,83075,57015,SD,Chancellor,"Sioux Falls, SD",Turner County,401766.0056735177,7.958100625238125,100.0,42.345993515516426,75.99446826451538,,89.20270818888699,71.50863399378376,67.0,27.33482749491487,,351.8867164328458,Balanced
25,77101,44270,OH,Rittman,"Wooster, OH",Wayne County,198100.90131685915,5.816056992138856,86.19689846651364,92.13756368689208,86.58968375698515,,42.54077511900112,71.4929842058784,31.166666666666668,28.884126613014388,,155.20950780410354,Balanced
26,65197,17824,PA,Elysburg,"Sunbury, PA",Northumberland County,259341.3888060815,7.888006598322578,99.59111169404827,88.66373320981936,52.0173173393412,,66.88365824131138,71.43116409690404,33.666666666666664,23.828737523520413,,257.8132789616582,Balanced
27,77464,45142,OH,,"Wilmington, OH",Highland County,206405.94467376525,4.311901114439013,76.47321382996043,100.0,92.00653265502454,,37.95252798844442,71.28645489468589,23.166666666666668,29.67621236403808,,135.8703253320617,Balanced
28,76646,43342,OH,Prospect,"Marion, OH",Marion County,256838.72050239675,6.135561973057345,88.26235306488296,97.92728114867994,100.0,,19.840944687846413,71.20611578028186,27.0,31.874184941010743,,59.53110376416123,Balanced
29,77933,46050,IN,Kirklin,"Frankfort, IN",Clinton County,256453.59811415776,5.977812362323091,87.24257347351202,98.853635942566,100.0,,19.90174545049916,71.19959097331544,26.333333333333332,35.8062459356185,,59.78737527916965,Balanced
30,76622,43314,OH,Caledonia,"Marion, OH",Marion County,225895.88625249465,6.118860802315009,88.15438758087471,97.92728114867994,100.0,,19.840944687846413,71.18452268348021,27.0,31.874184941010743,,59.53110376416123,Balanced
31,77077,44230,OH,Doylestown,"Wooster, OH",Wayne County,274366.6975131913,5.569490340578763,84.60295704248547,92.13756368689208,86.58968375698515,,42.54077511900112,71.17419592107277,31.166666666666668,28.884126613014388,,155.20950780410354,Balanced
