rank,region_id,region_name,state,city,metro,county_name,current_value,appreciation_pct,appreciation_score,velocity_score,distress_score,pricing_power_score,value_gap_score,composite_score,days_to_pending,price_cut_pct,sale_to_list,value_gap_pct,strategy
1,77933,46050,IN,Kirklin,"Frankfort, IN",Clinton County,256453.59811415776,5.977812362323091,87.24257347351202,98.853635942566,100.0,,19.90174545049916,83.68024587344985,26.333333333333332,35.8062459356185,,59.78737527916965,Fast Flip
2,76646,43342,OH,Prospect,"Marion, OH",Marion County,256838.72050239675,6.135561973057345,88.26235306488296,97.92728114867994,100.0,,19.840944687846413,83.50594859616274,27.0,31.874184941010743,,59.53110376416123,Fast Flip
3,76622,43314,OH,Caledonia,"Marion, OH",Marion County,225895.88625249465,6.118860802315009,88.15438758087471,97.92728114867994,100.0,,19.840944687846413,83.4897537735615,27.0,31.874184941010743,,59.53110376416123,Fast Flip
4,77938,46057,IN,Frankfort,"Frankfort, IN",Clinton County,235350.7077235373,5.6813198945006125,85.32588432116974,98.853635942566,100.0,,19.90174545049916,83.39274250059852,26.333333333333332,35.8062459356185,,59.78737527916965,Fast Flip
5,77932,46049,IN,Kempton,"Frankfort, IN",Tipton County,207275.4196816032,5.228950168579808,82.40151948691837,98.853635942566,100.0,,17.32189945496165,82.82509547568394,26.333333333333332,35.8062459356185,,48.91348138509491,Fast Flip
6,76656,43356,OH,Waldo,"Marion, OH",Marion County,293433.66043057345,5.431971743963318,83.71396176947242,97.92728114867994,100.0,,19.840944687846413,82.82368990185117,27.0,31.874184941010743,,59.53110376416123,Fast Flip
7,76617,43302,OH,Marion,"Marion, OH",Marion County,162184.09468341316,4.9554420551688905,80.63341374749639,97.92728114867994,100.0,,19.840944687846413,82.36160769855476,27.0,31.874184941010743,,59.53110376416123,Fast Flip
8,77921,46035,IN,Colfax,"Frankfort, IN",Clinton County,205497.922342876,4.567615424393368,78.12629071109612,98.853635942566,100.0,,19.90174545049916,82.31280345908746,26.333333333333332,35.8062459356185,,59.78737527916965,Fast Flip
9,77939,46058,IN,Mulberry,"Frankfort, IN",Clinton County,246270.98129395043,4.540880915990705,77.95346425575673,98.853635942566,100.0,,19.90174545049916,82.28687949078656,26.333333333333332,35.8062459356185,,59.78737527916965,Fast Flip
10,76484,43044,OH,,"Urbana, OH",Champaign County,269610.460045504,5.450583330476285,83.83427722382199,100.0,94.81405571910192,,19.407238131208235,82.2490174199092,24.0,30.08674606298083,,57.70305701788037,Fast Flip
