rank,region_id,region_name,state,city,metro,county_name,current_value,appreciation_pct,appreciation_score,velocity_score,distress_score,pricing_power_score,value_gap_score,composite_score,days_to_pending,price_cut_pct,sale_to_list,value_gap_pct,strategy
1,85563,62554,IL,Oreana,"Decatur, IL",Macon County,169367.4292146725,8.737797007211457,100.0,97.92728114867994,67.66247513034823,,68.9185652451205,77.95122850965177,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
2,85525,62501,IL,Oreana,"Decatur, IL",Macon County,187742.31174998,13.480058307982423,100.0,97.92728114867994,67.66247513034823,,68.9185652451205,77.95122850965177,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
3,85577,62573,IL,Warrensburg,"Decatur, IL",Macon County,154972.5532646464,8.417858497968309,100.0,97.92728114867994,67.66247513034823,,68.9185652451205,77.95122850965177,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
4,85231,61925,IL,Dalton City,"Decatur, IL",Macon County,198539.2691488288,12.628743681417712,100.0,97.92728114867994,67.66247513034823,,68.9185652451205,77.95122850965177,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
5,85535,62521,IL,Decatur,"Decatur, IL",Macon County,115800.42870973784,7.700250492303315,98.37735373811726,97.92728114867994,67.66247513034823,,68.9185652451205,77.54556694418108,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
6,85554,62544,IL,Macon,"Decatur, IL",Macon County,143095.4720208086,7.2538882700969785,95.49182468707058,97.92728114867994,67.66247513034823,,68.9185652451205,76.82418468141941,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
7,85536,62522,IL,Decatur,"Decatur, IL",Macon County,84273.10322984788,7.0759064732371355,94.34125320085023,97.92728114867994,67.66247513034823,,68.9185652451205,76.53654180986432,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
8,83075,57015,SD,Chancellor,"Sioux Falls, SD",Turner County,401766.0056735177,7.958100625238125,100.0,42.345993515516426,75.99446826451538,,89.20270818888699,76.35146972745228,67.0,27.33482749491487,,351.8867164328458,Value-Add Flip
9,85141,61756,IL,Maroa,"Decatur, IL",Macon County,150777.85153670583,6.899955508788919,93.20381012386797,97.92728114867994,67.66247513034823,,68.9185652451205,76.25218104061875,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
10,85546,62535,IL,Forsyth,"Decatur, IL",Macon County,305371.7584146865,6.7442233856580405,92.19707267361036,97.92728114867994,67.66247513034823,,68.9185652451205,76.00049667805436,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
11,85540,62526,IL,Decatur,"Decatur, IL",Macon County,93779.67329289344,6.44371407568131,90.25441646099074,97.92728114867994,67.66247513034823,,68.9185652451205,75.51483262489944,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
12,85559,62549,IL,Mount Zion,"Decatur, IL",Macon County,191134.6833788508,6.167536747762603,88.46905546200034,97.92728114867994,67.66247513034823,,68.9185652451205,75.06849237515185,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
13,85561,62551,IL,Niantic,"Decatur, IL",Macon County,123606.91488427606,5.925359949586152,86.90349244644437,97.92728114867994,67.66247513034823,,68.9185652451205,74.67710162126286,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
14,88020,68456,NE,Utica,"Lincoln, NE",Seward County,233332.34215477228,6.065176765437124,87.80734466307824,93.52709587772117,81.39407572968189,,59.191980023955345,74.55771069935295,30.166666666666668,28.124392095069688,,225.39332329470403,Value-Add Flip
15,87957,68360,NE,Garland,"Lincoln, NE",Seward County,424966.73347010073,5.926403271115259,86.91023704630531,93.52709587772117,81.39407572968189,,59.191980023955345,74.33343379515972,30.166666666666668,28.124392095069688,,225.39332329470403,Value-Add Flip
16,87979,68405,NE,Milford,"Lincoln, NE",Seward County,296366.8826869985,5.806963538167807,86.13811341638528,93.52709587772117,81.39407572968189,,59.191980023955345,74.14040288767971,30.166666666666668,28.124392095069688,,225.39332329470403,Value-Add Flip
17,87777,67867,KS,Montezuma,,Gray County,252329.4170639797,7.415400668534508,96.53592899207217,,,,100.0,74.13398224801804,,,,410.85853680647705,Value-Add Flip
18,83110,57053,SD,Parker,"Sioux Falls, SD",Turner County,334314.2880690546,6.559777450088583,91.0047134663226,42.345993515516426,75.99446826451538,,89.20270818888699,74.10264809403293,67.0,27.33482749491487,,351.8867164328458,Value-Add Flip
19,88001,68434,NE,Seward,"Lincoln, NE",Seward County,296567.7536327342,5.773362541808608,85.92089823482414,93.52709587772117,81.39407572968189,,59.191980023955345,74.08609909228942,30.166666666666668,28.124392095069688,,225.39332329470403,Value-Add Flip
20,87752,67835,KS,Cimarron,"Garden City, KS",Gray County,227088.36340940112,7.631646003058163,97.93385687189368,,46.669969688287225,,100.0,73.81745815563087,,23.0468146824194,,410.85853680647705,Value-Add Flip
21,65200,17830,PA,Herndon,"Sunbury, PA",Northumberland County,219998.3508667719,8.496139838123852,100.0,88.66373320981936,52.0173173393412,,66.88365824131138,72.92393800966899,33.666666666666664,23.828737523520413,,257.8132789616582,Value-Add Flip
22,65222,17857,PA,Northumberland,"Sunbury, PA",Northumberland County,203003.93669101663,10.915689200829865,100.0,88.66373320981936,52.0173173393412,,66.88365824131138,72.92393800966899,33.666666666666664,23.828737523520413,,257.8132789616582,Value-Add Flip
23,87914,68314,NE,Bee,"Lincoln, NE",Seward County,276893.5520637671,5.01303559028321,81.00572979589178,93.52709587772117,81.39407572968189,,59.191980023955345,72.85730698255634,30.166666666666668,28.124392095069688,,225.39332329470403,Value-Add Flip
24,65197,17824,PA,Elysburg,"Sunbury, PA",Northumberland County,259341.3888060815,7.888006598322578,99.59111169404827,88.66373320981936,52.0173173393412,,66.88365824131138,72.82171593318105,33.666666666666664,23.828737523520413,,257.8132789616582,Value-Add Flip
25,87758,67841,KS,Ensign,"Dodge City, KS",Gray County,178203.17923821,9.89337832567088,100.0,,39.020639897488984,,100.0,72.80412797949779,,21.92828151927997,,410.85853680647705,Value-Add Flip
26,83101,57043,SD,Marion,"Sioux Falls, SD",Turner County,278435.7622090098,5.654326929809363,85.15138706330262,42.345993515516426,75.99446826451538,,89.20270818888699,72.63931649327793,67.0,27.33482749491487,,351.8867164328458,Value-Add Flip
27,65187,17801,PA,Sunbury,"Sunbury, PA",Northumberland County,174519.136169323,7.680252900743326,98.24807839059325,88.66373320981936,52.0173173393412,,66.88365824131138,72.4859576073173,33.666666666666664,23.828737523520413,,257.8132789616582,Value-Add Flip
28,65234,17872,PA,Shamokin,"Sunbury, PA",Northumberland County,54116.254021074245,7.666065491438544,98.1563632326534,88.66373320981936,52.0173173393412,,66.88365824131138,72.46302881783234,33.666666666666664,23.828737523520413,,257.8132789616582,Value-Add Flip
29,87994,68423,NE,Pleasant Dale,"Lincoln, NE",Seward County,475753.3265735197,4.666619719981011,78.7663085192441,93.52709587772117,81.39407572968189,,59.191980023955345,72.29745166339441,30.166666666666668,28.124392095069688,,225.39332329470403,Value-Add Flip
